X,Y
4900,4.72714e+07
4800,4.24866e+07
4700,4.22318e+07
4600,4.06074e+07
4500,3.89848e+07
4400,3.6423e+07
4300,3.4215e+07
4200,3.17648e+07
4100,3.02067e+07
3900,2.82198e+07
4000,2.80788e+07
3800,2.62161e+07
3700,2.44493e+07
3600,2.25363e+07
3500,2.10536e+07
3400,2.09048e+07
3300,1.96953e+07
3200,1.80988e+07
3100,1.70828e+07
3000,1.5192e+07
2900,1.41227e+07
2700,1.34469e+07
2800,1.32533e+07
2600,1.12964e+07
2500,1.03348e+07
2400,9.92514e+06
2300,8.76147e+06
2100,8.55045e+06
2200,8.14681e+06
2000,6.60567e+06
1900,6.11978e+06
1800,5.45538e+06
1700,4.66718e+06
1600,4.11187e+06
1500,3.61963e+06
1400,3.3834e+06
1300,2.67243e+06
1200,2.2474e+06
1100,1.86879e+06
1000,1.51671e+06
